比喻句,正确答案,答案A_本体,答案A_喻体,答案A_共性,答案B_本体,答案B_喻体,答案B_共性,答案C_本体,答案C_喻体,答案C_共性,答案D_本体,答案D_喻体,答案D_共性
思念就像一条长河，永不停息地流淌在心头。,A,思念,一条长河,持续不断,小河,思念,难以割舍,小河,流淌,永不停息,怀念,小河,川流不息
有红通通的苹果梨子像小葫芦似的吊在树上;,C,草莓,小葫芦,吊在树上,香蕉,小葫芦,吊在树上,苹果梨子,小葫芦,吊在树上,梨子,小葫芦,吊在树上
爱情就像四季的更迭，从热烈的夏天到寒冷的冬天，每个阶段都有其独特的美丽和痛苦。,C,四季的更迭,情感,每个阶段都有其独特的美丽和痛苦。,四季的更迭,爱情,每个阶段都有其独特的美丽和痛苦。,爱情,四季的更迭,每个阶段都有其独特的美丽和痛苦。,爱情,四季,每个阶段都有其独特的美丽和痛苦。
田野里，谷穗深深地弯着腰，仿佛正在彬彬有礼地欢迎来访者的主人一样。,C,弯腰的谷穗,人,谦谦有礼,谷穗,人,彬彬有礼,弯腰的谷穗,人,彬彬有礼,谷穗,人,谦谦有礼
生命如同一幅复杂的画卷。,B,生命,复杂,画卷,生命,复杂的画卷,丰富、复杂,画卷,复杂的,生命,简单的,生命力,画卷
每天清晨，当第一缕阳光穿透云层，洒在我的脸上，我就仿佛看到了希望的光芒，让我有了继续活下去的勇气。,A,阳光,希望的光芒,有了继续活下去的勇气,光芒,阳光,有了继续活下去的勇气,散发着光芒,勇气,阳光,有了继续活下去的勇气,希望的光芒,太阳
家乡的大蒜可大了，扁圆行的身子长得胖乎乎的，似乎快要把身上的衣服给顶破似得，给人一种精神饱满，积极向上的感觉。,B,大蒜,家乡,胖乎乎,大蒜的身子,把衣服顶破的样子,胖乎乎,家乡,大蒜,胖乎乎,大蒜,胖乎乎,衣服顶破
明月下的夜晚，就像一首优美的诗，让人沉醉其中。,D,明月,优美的诗,沉醉其中,明月,小说,夜晚,小说,明月,夜晚,夜晚,诗,让人沉醉
断鸿声里，是孤独的旅人，在远方的天际，寻找着归途。,C,断鸿声里,远方的天际,孤独,旅人,断鸿声里,远方的天际,失群的孤雁,孤独的旅人,孤独的寻找归途,远方,孤独的旅人,断鸿声里
时间就像一条无情的河流，将我们带向未知的远方。,A,时间,无情的河流,所去之处是未知的,间隔,无情的河流,未知的远方,时间,无情的湖泊,未知的远方,时间,无情的河流,方向
